,Matriz,Legislação,Classe,Grupo,Parâmetro B.D.,Parâmetro,Unidade,Min,Max,Obs
100,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,"1,1,2-TRICLOROETENO",Tricloroeteno,mg/L,,0.03,
101,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,"1,1-DICLOROETENO","1,1-Dicloroeteno",mg/L,,0.003,
102,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,"1,2-DICLOROETANO","1,2-Dicloroetano",mg/L,,0.01,
103,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,"2,4,5-T","2,4,5-T",µg/L,,2.0,
104,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,"2,4,5-TP","2,4,5-TP",µg/L,,10.0,
105,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,"2,4,6-TRICLOROFENOL","2,4,6-Triclorofenol",mg/L,,0.01,
106,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,"2,4-D","2,4-D",µg/L,,4.0,
107,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,"2,4-DICLOROFENOL","2,4-Diclorofenol",µg/L,,0.3,
108,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,2-CLOROFENOL,2-Clorofenol,µg/L,,0.1,
109,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,ACRILAMIDA,Acrilamida,µg/L,,0.5,
110,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,ALACLOR,Alacloro,µg/L,,20.0,
111,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,ALDRIN+DIELDRIN,Aldrin + Dieldrin,µg/L,,0.005,
112,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,ALUMINIO DISSOLVIDO,Alumínio dissolvido,mg/L,,0.1,
113,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,ANTIMONIO TOTAL,Antimônio,mg/L,,0.005,
114,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,ARSENIO TOTAL,Arsênio total,mg/L,,0.01,
115,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,ATRAZINA,Atrazina,µg/L,,2.0,
116,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,BARIO TOTAL,Bário total,mg/L,,0.7,
117,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,BENZENO,Benzeno,mg/L,,0.005,
