Matriz;Legislação;Classe;Grupo;Parâmetro B.D.;Parâmetro;Unidade;Min;Max;Obs
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;1,1,2-TRICLOROETENO;Tricloroeteno;mg/L;;0.03;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;1,1-DICLOROETENO;1,1-Dicloroeteno;mg/L;;0.003;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;1,2-DICLOROETANO;1,2-Dicloroetano;mg/L;;0.01;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;2,4,5-T;2,4,5-T;µg/L;;2;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;2,4,5-TP;2,4,5-TP;µg/L;;10;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;2,4,6-TRICLOROFENOL;2,4,6-Triclorofenol;mg/L;;0.01;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;2,4-D;2,4-D;µg/L;;4;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;2,4-DICLOROFENOL;2,4-Diclorofenol;µg/L;;0.3;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;2-CLOROFENOL;2-Clorofenol;µg/L;;0.1;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;ACRILAMIDA;Acrilamida;µg/L;;0.5;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;ALACLOR;Alacloro;µg/L;;20;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;ALDRIN+DIELDRIN;Aldrin + Dieldrin;µg/L;;0.005;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;ALUMINIO DISSOLVIDO;Alumínio dissolvido;mg/L;;0.1;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;ANTIMONIO TOTAL;Antimônio;mg/L;;0.005;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;ARSENIO TOTAL;Arsênio total;mg/L;;0.01;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;ATRAZINA;Atrazina;µg/L;;2;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;BARIO TOTAL;Bário total;mg/L;;0.7;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;BENZENO;Benzeno;mg/L;;0.005;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;BENZIDINA;Benzidina;µg/L;;0.001;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;BENZO(A)ANTRACENO;Benzo(a)antraceno;µg/L;;0.05;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;BENZO(A)PIRENO;Benzo(a)pireno;µg/L;;0.05;
