Parâmetro;Parâmetro B.D.;Unidade
Alcalinidade de bicarbonato;ALCALINIDADE DE BICARBONATO;mg/L
Alcalinidade total;ALCALINIDADE TOTAL;mg/L
Alumínio total;ALUMINIO TOTAL;mg/L
Arsênio Dissolvido;ARSENIO DISSOLVIDO;mg/L
Boro dissolvido;BORO DISSOLVIDO;mg/L
Cálcio total;CALCIO TOTAL;mg/L
Cianeto total;CIANETO TOTAL;mg/L
Cobre total;COBRE TOTAL;mg/L
Coliformes totais;COLIFORMES TOTAIS;NMP/ 100 mL
Condição de tempo;CONDICAO DE TEMPO;-
Condutividade elétrica;CONDUTIVIDADE ELETRICA IN LOCO;μS/cm
Condutividade elétrica laboratório;CONDUTIVIDADE ELETRICA LABORATORIO;μS/cm
Cromo hexavalente;CROMO HEXAVALENTE;mg/L
Cromo trivalente;CROMO TRIVALENTE;mg/L
Demanda Química de Oxigênio;DEMANDA QUIMICA DE OXIGENIO;mg/L
Descarga Liquida;DESCARGA LIQUIDA;L
Dureza de Cálcio;DUREZA DE CALCIO;mg/L
Dureza de magnésio;DUREZA DE MAGNESIO;mg/L
Dureza total;DUREZA TOTAL;mg/L
Escherichia coli;ESCHERICHIA COLI;NMP/ 100 mL
Estanho total;ESTANHO TOTAL;mg/L
Estreptococos fecais;ESTREPTOCOCOS FECAIS;NMP/ 100 mL
Feoftina a;FEOFTINA A;μg/L
Ferro total;FERRO TOTAL;mg/L
Magnésio total;MAGNESIO TOTAL;mg/L
Manganês dissolvido;MANGANES DISSOLVIDO;mg/L
Microcistina;MICROCISTINA;mg/L
Molinato;MOLINATO;mg/L
Nitrogênio amoniacal total;NITROGENIO AMONIACAL TOTAL;mg/L
Nitrogênio orgânico;NITROGENIO ORGANICO;mg/L
Ortofosfato;ORTOFOSFATO;mg/L
Permetrina - cis + trans;PERMETRINA (CIS+TRANS);mg/L
Potássio dissolvido;POTASSIO DISSOLVIDO;mg/L
Potássio total;POTASSIO TOTAL;mg/L
Precipitação;PRECIPITACAO;-
Profundidade;PROFUNDIDADE;m
Saxitoxina;SAXITOXINA;mg/L
Sódio dissolvido;SODIO DISSOLVIDO;mg/L
Sódio total;SODIO TOTAL;mg/L
Sólidos em suspensão totais;SOLIDOS EM SUSPENSAO TOTAIS;mg/L
Sólidos sedimentáveis;SOLIDOS SEDIMENTAVEIS;mg/L
Sólidos totais;SOLIDOS TOTAIS;mg/L
Temperatura da água;TEMPERATURA DA AGUA;°C
Temperatura do ar;TEMPERATURA DO AR;°C
Transparência;TRANSPARENCIA;cm
