COD_LOCAL;DT_REF;SUBSTANCIA;MEDICAO;DIMENSAO
PAS 34;2024-07-24 16:10:00;Alcalinidade Total;185;mg/L
PAS 34;2024-06-27;Alcalinidade Total;173;mg/L
PAS 34;2024-05-21;Alcalinidade Total;156;mg/L
PAS 33;2024-06-27;Alcalinidade Total;135;mg/L
PAS 33;2024-05-22;Alcalinidade Total;133;mg/L
PAS 14;2024-06-26;Alcalinidade Total;120;mg/L
PAS 14;2024-05-22;Alcalinidade Total;103;mg/L
PAS 14;2024-07-26 09:53:00;Alcalinidade Total;100;mg/L
PAS 15;2021-07-07;Alcalinidade total;71;mg/L
PAS 33;2024-03-18;Alcalinidade Total;65;mg/L
PAS 33;2024-07-26 10:15:00;Alcalinidade Total;64;mg/L
PAS 14;2024-04-18;Alcalinidade Total;60;mg/L
PAS 14;2023-05-16;Alcalinidade total;58;mg/L
PAS 15;2023-05-17;Alumínio dissolvido;13.3;mg/L
PAS 13;2023-05-18;Alumínio dissolvido;7.98;mg/L
PAS 14;2023-05-16;Alumínio dissolvido;4.25;mg/L
PAS 13;2024-06-27;Alumínio Dissolvido;3.2;mg/L
PAS 35;2024-06-27;Alumínio Dissolvido;3;mg/L
PAS 13;2024-02-22;Alumínio Dissolvido;2.44;mg/L
PAS 14;2021-07-06;Alumínio dissolvido;1.65;mg/L
PAS 15;2021-07-07;Alumínio dissolvido;1.27;mg/L
PAS 26;2024-02-20;Alumínio Dissolvido;1.25;mg/L
PAS 27;2024-03-20;Alumínio Dissolvido;0.84299999999999997;mg/L
PAS 15;2024-02-22;Alumínio Dissolvido;0.81699999999999995;mg/L
PAS 35;2024-02-22;Alumínio Dissolvido;0.67700000000000005;mg/L
PAS 13;2024-03-21;Alumínio Dissolvido;0.60399999999999998;mg/L
PAS 01;2020-12-16;Amônia;3.5000000000000003E-2;mg/L
PAS 01;2021-07-04;Amônia;<0.0001;mg/L
PAS 01;2021-12-04;Amônia;<0.0001;mg/L
PAS 01;2022-05-26;Amônia;<0.6;mg/L
PAS 01;2022-11-23;Amônia;<0.6;mg/L
PAS 01;2023-05-18;Amônia;<0.6;mg/L
PAS 01;2023-11-22;Amônia;<0.6;mg/L
PAS 01;2024-05-23;Amônia;<0.005;mg/L
PAS 01;2024-06-25;Amônia;<0.005;mg/L
PAS 01;2024-02-19;Amônia;<0.005;mg/L
PAS 01;2024-03-20;Amônia;<0.005;mg/L
PAS 01;2024-04-17;Amônia;<0.1;mg/L
PAS 01;2024-07-24 13:31:00;Amônia;<0.1;mg/L
PAS 01;2020-12-16;Cádmio total;<0.001;mg/L
PAS 01;2021-07-04;Cádmio total;<0.001;mg/L
PAS 01;2021-12-04;Cádmio total;<0.001;mg/L
PAS 01;2022-05-26;Cádmio total;<0.001;mg/L
PAS 01;2022-11-23;Cádmio total;<0.001;mg/L
PAS 01;2023-05-18;Cádmio total;<0.001;mg/L
PAS 01;2023-11-22;Cádmio total;<0.001;mg/L
PAS 01;2024-05-23;Cádmio Total;<0.0003;mg/L
PAS 01;2024-06-25;Cádmio Total;<0.0003;mg/L
PAS 01;2024-02-19;Cádmio Total;<0.0003;mg/L
PAS 01;2024-03-20;Cádmio Total;<0.0003;mg/L
PAS 01;2024-04-17;Cádmio Total;<0.0003;mg/L
PAS 01;2024-07-24 13:31:00;Cádmio Total;<0.0003;mg/L
PAS 01;2020-12-16;Chumbo total;<0.01;mg/L
PAS 01;2021-07-04;Chumbo total;<0.01;mg/L
PAS 01;2021-12-04;Chumbo total;<0.01;mg/L
PAS 01;2022-05-26;Chumbo total;<0.005;mg/L
PAS 01;2022-11-23;Chumbo total;0.01;mg/L
PAS 01;2023-05-18;Chumbo total;<0.005;mg/L
PAS 01;2023-11-22;Chumbo total;<0.005;mg/L
PAS 01;2024-05-23;Chumbo Total;<0.003;mg/L
PAS 01;2024-06-25;Chumbo Total;<0.003;mg/L
PAS 01;2024-02-19;Chumbo Total;<0.003;mg/L
PAS 01;2024-03-20;Chumbo Total;<0.003;mg/L
PAS 01;2024-04-17;Chumbo Total;<0.003;mg/L
PAS 01;2024-07-24 13:31:00;Chumbo Total;<0.003;mg/L
PAS 01;2020-12-16;Cloreto;2;mg/L
PAS 01;2021-07-04;Cloreto;5;mg/L
PAS 01;2021-12-04;Cloreto;4;mg/L
PAS 01;2022-05-26;Cloreto;2.4;mg/L
PAS 01;2022-11-23;Cloreto;2.4;mg/L
PAS 01;2023-05-18;Cloreto;2.4;mg/L
PAS 01;2023-11-22;Cloreto;2.5;mg/L
PAS 01;2023-12-14;Cloreto total;<0.03;mg/L
PAS 01;2024-05-23;Cloreto;<1.;mg/L
PAS 01;2024-06-25;Cloreto;<1.;mg/L
PAS 01;2024-01-25;Cloreto Total;<0.1;mg/L
PAS 01;2024-02-19;Cloreto;<1.;mg/L
PAS 01;2024-03-20;Cloreto Total;0.4;mg/L
PAS 01;2024-04-17;Cloreto;<1.;mg/L
PAS 01;2024-07-24 13:31:00;Cloreto;<0.17;mg/L
PAS 01;2020-12-16;Cobre total;<0.005;mg/L
PAS 01;2021-07-04;Cobre total;<0.005;mg/L
PAS 01;2021-12-04;Cobre total;<0.005;mg/L
PAS 01;2022-05-26;Cobre total;0.11899999999999999;mg/L
PAS 01;2022-11-23;Cobre total;0.10199999999999999;mg/L
PAS 01;2023-05-18;Cobre total;8.6999999999999994E-2;mg/L
PAS 01;2023-11-22;Cobre total;0.11600000000000001;mg/L
PAS 01;2024-05-23;Cobre Total;<0.0003;mg/L
PAS 01;2024-06-25;Cobre Total;2.8999999999999998E-3;mg/L
PAS 01;2024-02-19;Cobre Total;<0.0003;mg/L
PAS 01;2024-03-20;Cobre Total;2.3E-3;mg/L
PAS 01;2024-04-17;Cobre Total;<0.0003;mg/L
PAS 01;2024-07-24 13:31:00;Cobre Total;<0.0003;mg/L
PAS 33;2024-06-27;Condutividade;2266;µS/cm
PAS 33;2023-12-14;Condutividade elétrica;2123;µS/cm
PAS 14;2024-07-26 09:51:00;Condutividade;1812;µS/cm
PAS 16;2024-07-26 09:10:00;Condutividade;1782;µS/cm
PAS 26;2024-07-26 14:58:00;Condutividade;1612;µS/cm
PAS 14;2024-01-25;Condutividade;1144;µS/cm
PAS 33;2024-07-26 10:04:00;Condutividade;1058;µS/cm
PAS 33;2024-04-18;Condutividade;1027;µS/cm
PAS 03;2024-07-29 11:31:00;Condutividade;944;µS/cm
PAS 14;2024-06-26;Condutividade;893;µS/cm
PAS 14;2024-04-18;Condutividade;824;µS/cm
PAS 15;2024-07-24 15:28:00;Condutividade;819;µS/cm
PAS 14;2024-05-22;Condutividade;799;µS/cm
PAS 14;2023-12-14;Condutividade elétrica;798;µS/cm
PAS 33;2024-04-18;Condutividade;724.6;µS/cm
PAS 26;2024-06-27;Condutividade;621;µS/cm
PAS 33;2024-02-22;Condutividade;600;µS/cm
PAS 03;2021-12-03;Cor verdadeira;3070;uH
